"","Q1.2","Q1.4","Q1.5","Q1.12","Q1.14.1","Q1.14.2","Q1.14.3","Q1.14.4","Q1.14.5","Q1.14.6","Q3.3","Q3.5.2","Q3.6.1","Q3.6.2","Q3.7","Q3.8.1c1","Q3.8.1c2","Q3.12","Q3.14","Q3.21.1","Q3.21.2","Q3.21.3","Q5.1","Q5.2","Q5.3.1","Q5.4","Q6.1.1","Q6.1.2","Q6.1.3","Q6.1.4","Q6.1.5","Q6.2.1","Q6.2.2","Q6.2.5","Q6.3","Q6.7","Q7.5","Q7.6"
"205",2,12,1,1,1,1,1,1,1,2,1,3,40,25,814,780,0,5,0,4,3,3,33.9999666666668,1,189,2,2,2,1,1,2,4,2,1,5,5,5,5
"206",1,18,4,1,4,5,5,3,4,4,1,3,10,3,1200,1200,0,4,0,3,5,5,40.4166333333333,1,189,4,6,5,5,4,6,4,3,4,2,2,8,4
"207",1,19,3,2,4,4,3,4,4,3,1,1,20,0.75,550,650,0,3,13,4,3,3,21.4999666666668,1,86,1,3,3,3,3,3,3,4,4,4,4,6,5
"208",1,18,5,2,5,4,4,4,5,4,1,1,15,1,830,270,610,5,12,3,3,3,23.5833,1,86,1,5,5,4,2,2,5,1,4,3,3,10,6
"209",2,24,2,1,4,4,4,4,3,4,1,5,120,75,1500,1040,0,5,40,1,1,1,40.2499666666668,2,86,1,2,2,3,3,3,4,2,3,2,4,6,3
"210",1,22,6,2,5,5,5,5,5,5,1,1,30,2.6,1600,1615,0,3,20,3,3,3,22.9166333333333,1,190,4,5,5,5,4,5,5,3,5,3,5,6,6
"211",1,17,2,1,5,5,5,3,5,4,2,5,60,21,640,259.6,0,5,0,3,3,3,52.8333,1,86,1,3,3,3,3,3,3,2,5,2,2,6,6
"212",1,23,7,2,3,3,1,3,3,5,1,5,30,4,800,785,0,4,28.5,4,2,2,24.2499666666668,2,86,1,4,5,4,2,3,5,2,3,3,3,5,4
"213",1,22,3,1,4,4,4,3,2,4,1,1,30,1.6,1117,940,0,1,0,3,3,3,24.4166333333333,1,189,4,5,3,3,2,5,5,5,5,2,7,5,2
"214",2,18,10,2,4,4,4,5,5,4,2,3,60,80,1200,430,0,3,40,5,3,3,26.9166333333333,1,86,2,5,5,5,4,4,5,5,5,3,3,6,7
"215",1,24,2,1,4,5,4,4,4,4,2,5,17,5.8,450,441,200,4,9,3,4,4,32.2499666666668,1,86,1,2,2,2,1,2,2,2,5,3,2,5,6
"216",2,24,3,1,5,4,5,4,5,5,2,3,30,6,790,2810,0,4,4,2,4,4,43.6666333333333,1,86,1,5,4,4,4,5,5,4,4,6,1,6,5
"217",1,26,8,1,4,4,2,4,4,4,1,3,15,10,875,805,0,5,0,3,4,4,25.2499666666668,2,86,2,4,3,3,3,4,4,1,4,4,3,6,4
"218",2,8,7,1,4,4,4,4,4,4,1,3,120,80,400,590,0,4,0,3,3,3,33.4999666666668,2,86,1,3,4,3,1,3,4,2,4,4,6,4,4
"219",1,18,4,2,3,2,3,4,4,4,2,3,15,7,100,100,0,2,0,2,5,5,22.1666333333333,2,86,1,5,3,5,2,4,5,4,4,3,1,5,7
"220",1,18,2,2,5,5,5,5,5,5,1,1,15,2,500,0,704.5,4,0,3,3,3,24.6666333333333,1,86,1,5,5,5,5,5,4,2,4,4,3,5,2
"221",2,4,4,1,4,5,4,4,5,3,2,3,50,32,0,2690,0,1,0,3,3,3,45.1666333333333,2,86,1,4,4,4,3,3,5,4,4,1,5,5,2
"222",1,26,8,2,4,3,3,2,4,4,2,3,50,50,900,900,0,4,16,5,4,4,22.4999666666668,2,86,1,3,2,3,1,4,4,2,4,5,6,5,5
"223",1,24,3,2,4,2,3,3,4,5,1,5,30,21,3130,0,3000,1,0,4,4,4,36.4999666666668,1,190,5,5,3,2,2,5,5,3,4,3,7,2,1
"224",1,3,2,2,4,4,2,5,5,3,1,3,60,25,400,400,675,4,2,3,5,5,28.4999666666668,1,70,4,1,5,1,1,5,4,2,4,3,5,3,3
"225",2,22,10,2,4,5,3,5,5,5,1,5,100,95,1200,1155,0,3,8,5,2,2,28.4166333333333,1,86,1,2,2,1,1,2,5,3,5,6,7,7,6
"226",1,24,11,1,4,5,5,5,4,3,1,1,20,1,750,0,1220,3,0,4,4,4,24.4166333333333,1,178,4,4,4,4,3,3,4,5,5,6,6,3,1
"227",1,19,3,1,5,5,5,4,5,5,1,3,45,40,433,430,80,5,15,5,1,1,26.1666333333333,1,86,1,2,1,3,1,2,1,1,5,4,6,8,5
"228",1,24,7,2,4,3,2,4,4,3,2,1,50,4,100,10,210,2,0,3,3,3,24.5833,2,86,1,4,4,2,3,3,4,3,4,4,5,3,7
"229",1,18,4,2,2,2,2,4,2,2,1,1,20,1.6,800,680,0,4,10,3,3,3,23.0833,1,86,1,3,3,3,1,3,4,4,4,3,7,6,7
"230",1,22,7,1,4,3,3,3,5,5,2,5,45,4,280,2530,0,2,6,4,3,3,37.0833,2,86,1,4,4,4,2,5,4,4,4,2,2,6,1
"231",2,9,4,1,4,4,4,4,4,4,2,3,30,20,2500,2100,0,3,60,3,3,3,49.4166333333333,2,166,2,5,5,5,5,5,4,4,4,5,6,5,3
"232",1,19,2,1,4,4,4,4,4,4,2,5,60,25,400,0,480,3,0,3,3,3,61.2499666666668,1,29,2,5,5,3,3,5,5,3,5,4,5,6,5
"233",1,12,6,1,4,2,2,4,4,2,1,3,20,10,1315,1295,0,5,0,2,5,5,35.5833,1,86,2,5,3,4,3,5,4,2,4,5,1,5,3
"234",1,24,2,2,3,4,3,4,4,5,2,5,95,40,240,240,200,3,0,3,3,3,22.6666333333333,1,86,1,5,4,3,3,4,5,2,4,4,4,5,3
"235",2,22,10,2,4,4,3,4,4,4,1,5,20,7,1200,2270,0,3,39,5,3,3,27.4166333333333,1,86,1,5,5,3,3,3,4,2,3,3,6,2,2
"236",2,4,7,1,4,4,4,5,4,3,2,5,120,70,200,450,0,2,0,3,4,4,30.9999666666668,2,86,1,4,4,3,3,4,5,4,4,4,3,6,5
"237",1,22,2,2,5,5,3,5,5,4,1,1,20,1,1300,1040,0,5,35,5,1,1,24.1666333333333,1,86,1,5,4,4,2,5,5,2,5,3,3,5,3
"238",2,22,3,2,4,4,4,4,4,4,2,5,10,3,875,887.5,0,5,9,3,5,5,45.4166333333333,1,131,2,5,5,5,5,5,4,2,4,3,3,6,5
"239",2,2,2,1,4,4,5,3,4,2,2,3,90,100,182,700,0,5,40,3,3,3,44.6666333333333,1,86,1,5,5,3,3,5,4,2,4,5,6,6,6
"240",1,24,3,2,4,5,5,4,5,5,2,5,30,8.4,100,0,685,4,0,3,3,3,23.0833,1,189,2,2,2,2,4,2,5,2,5,6,1,6,5
"241",2,2,1,2,4,4,3,3,4,3,2,3,50,30,2500,2480,0,2,0,5,1,1,42.7499666666668,1,86,1,4,2,2,2,2,4,4,4,2,6,4,2
"242",1,3,4,2,4,4,3,3,5,4,1,3,10,3.3,1500,1145,0,1,0,4,3,3,24.4166333333333,2,42,3,5,5,3,4,3,4,4,4,5,3,5,5
"243",1,22,8,2,4,4,4,3,4,4,2,5,60,12,250,50,210,2,0,3,1,1,23.6666333333333,1,86,1,3,3,3,4,3,4,2,4,5,7,3,2
"244",2,22,1,1,5,5,5,3,5,2,2,3,80,80,0,1660,0,1,35,4,3,3,32.4166333333333,2,86,1,5,5,5,3,5,5,5,5,3,2,5,4
